ID,category,spanish,korean,quiz,answer,answer2,level
244,요일 및 날짜,Hoy es once de marzo.,오늘은 3월 11일입니다.,Hoy es ( ).,once de marzo,Once de marzo,중
245,요일 및 날짜,Hoy es trece de abril.,오늘은 4월 13일입니다.,Hoy es ( ).,trece de abril,Trece de abril,중
246,요일 및 날짜,Hoy es trece de mayo.,오늘은 5월 13일입니다.,Hoy es ( ).,trece de mayo,Trece de mayo,중
247,요일 및 날짜,Hoy es veintisiete de mayo.,오늘은 5월 27일입니다.,Hoy es ( ).,veintisiete de mayo,Veintisiete de mayo,중
248,요일 및 날짜,Hoy es veintiocho de mayo.,오늘은 5월 28일입니다.,Hoy es ( ).,veintiocho de mayo,Veintiocho de mayo,중
249,요일 및 날짜,Hoy es treinta de julio.,오늘은 7월 30일입니다.,Hoy es ( ).,treinta de julio,Treinta de julio,중
250,요일 및 날짜,Hoy es treinta y uno de agosto.,오늘은 8월 31일입니다.,Hoy es ( ).,treinta y uno de agosto,Treinta y uno de agosto,중
251,요일 및 날짜,Hoy es dieciocho de octubre.,오늘은 10월 18일입니다.,Hoy es ( ).,dieciocho de octubre,Dieciocho de octubre,중
252,요일 및 날짜,Hoy es quince de diciembre.,오늘은 12월 15일입니다.,Hoy es ( ).,quince de diciembre,Quince de diciembre,중
253,요일 및 날짜,Hoy es veinte de enero.,오늘은 1월 20일입니다.,Hoy es ( ).,veinte de enero,Veinte de enero,중
254,요일 및 날짜,Hoy es veintinueve de febrero.,오늘은 2월 29일입니다.,Hoy es ( ).,veintinueve de febrero,Veintinueve de febrero,중
255,요일 및 날짜,Hoy es veintitrés de junio.,오늘은 6월 23일입니다. ,Hoy es ( ).,veintitrés de junio,Veintitrés de junio,중
256,몇시에,¿A qué hora abre el restaurante?,몇 시에 식당이 여나요?,¿A qué hora ( ) el restaurante? ,abre,Abre,중
257,몇시에,El restaurante abre a las seis y media de la mañana.,오전 6시 30분에 열어요.,El restaurante abre a las seis y ( ) de la mañana. ,media,Media,중
258,몇시에,¿A qué hora abre la tienda?,몇 시에 가게가 여나요?,¿A qué hora ( ) la tienda? ,abre,Abre,중
259,몇시에,La tienda abre a las nueve en punto de la mañana.,오전 9시 정각에 열어요.,La tienda abre a las nueve ( ) de la mañana.,en punto,En punto,중
260,몇시에,¿A qué hora cierra el restaurante?,몇 시에 식당이 닫아요?,¿A qué hora ( ) el restaurante? ,cierra,Cierra,중
261,몇시에,El restaurante cierra a las siete y cuarto de la tarde.,오후 7시 15분에 닫아요.,El restaurante cierra a las siete y ( ) de la tarde. ,cuarto,Cuarto,중
262,몇시에,¿A qué hora cierra la biblioteca nacional?,몇 시에 국립 도서관이 닫아요?,¿A qué hora ( ) la biblioteca nacional? ,cierra,Cierran,중
263,몇시에,La biblioteca nacional cierra a las diez de la noche.,밤 10시에 닫아요.,La biblioteca nacional cierra a las diez de la ( ).,noche,Noche,중
264,몇시에,¿A qué hora sale el vuelo a Londres?,몇 시에 런던행 비행기가 출발해요?,¿A qué hora ( ) el vuelo a Londres? ,sale,Sale,중
265,몇시에,El vuelo a Londres sale a las tres menos cinco de la tarde.,오후 2시 55분에 출발해.,El vuelo a Londres sale a las tres ( ) de la tarde. ,menos cinco,Menos cinco,중
266,몇시에,¿A qué hora llega el vuelo de Toronto?,몇 시에 토론토 출발행 비행기가 도착해?,¿A qué hora ( ) el vuelo de Toronto? ,llega,Llega,중
267,몇시에,El vuelo de toronto llega a las once y diez de la mañana.,오전 11시 10분에 도착해.,El vuelo de toronto llega a las once ( ) de la mañana.,y diez,Y diez,하
268,몇시에,¿A qué hora empieza la clase de español?,몇 시에 스페인어 수업이 시작해?,¿A qué hora ( ) la clase de español? ,empieza,Empieza,중
269,몇시에,La clase de español empieza a las siete y veinte de la mañana.,오전 7시 20분에 시작해.,La clase de español empieza a las siete ( ) de la mañana. ,y veinte,Y veinte,하
270,몇시에,¿A qué hora empieza el partido de fútbol?,몇 시에 축구 경기가 시작해?,¿A qué hora ( ) el partido de fútbol?,empieza,Empieza,중
271,몇시에,El partido de fútbol empieza a las seis y catorce de la tarde.,오후 6시 14분에 시작해.,El partido de fútbol empieza a las seis ( ) de la tarde. ,y catorce,Y catorce,하
272,몇시에,¿A qué hora termina la clase de matemáticas?,몇 시에 수학 수업이 끝나?,¿A qué hora ( ) la clase de matemáticas? ,termina,Termina,중
273,몇시에,La clase de matemáticas termina a las cinco en punto de la tarde.,오후 5시 정각에 끝나.,La clase de matemáticas termina a las cinco ( ) de la tarde. ,en punto,En punto,중
274,몇시에,¿A qué hora termina la reunión?,몇 시에 모임이 끝나?,¿A qué hora ( ) la reunión?,termina,Termina,중
275,몇시에,La reunión termina a las doce menos cuarto de la noche.,밤 11시 45분에 끝나.,La reunión termina a las doce ( ) de la noche. ,menos cuarto,Menos cuarto,중
276,날씨,¿Qué tiempo hace?,날씨가 어때요?,¿Qué ( ) hace?,tiempo,Tiempo,중
277,날씨,Hace calor.,날씨가 덥다.,Hace ( ). ,calor,Calor,중
278,날씨,Hace frío.,날씨가 춥다.,Hace ( ). ,frío,Frío,중
279,날씨,Hace sol.,화창하다.,Hace ( ). ,sol,Sol,중
280,날씨,Hace viento.,바람이 분다.,Hace ( ). ,viento,Viento,중
281,날씨,Está lloviendo.,비가 오고 있다.,Está ( ).,lloviendo,Lloviendo,중
282,날씨,Está nevando.,눈이 오고 있다.,Está ( ).,nevando,Nevando,중
283,숫자,uno,1,( ),uno,Uno,하
284,숫자,dos,2,( ),dos,Dos,하
285,숫자,tres,3,( ),tres,Tres,하
286,숫자,cuatro,4,( ),cuatro,Cuatro,하
287,숫자,cinco,5,( ),cinco,Cinco,하
288,숫자,seis,6,( ),seis,Seis,하
289,숫자,siete,7,( ),siete,Siete,하
290,숫자,ocho,8,( ),ocho,Ocho,하
291,숫자,nueve,9,( ),nueve,Nueve,하
292,숫자,diez,10,( ),diez,Diez,하
293,숫자,once,11,( ),once,Once,하
294,숫자,doce,12,( ),doce,Doce,하
295,숫자,trece,13,( ),trece,Trece,하
296,숫자,catorce,14,( ),catorce,Catorce,하
297,숫자,quince,15,( ),quince,Quince,하
298,숫자,dieciséis,16,( ),dieciséis,Dieciséis,중 
299,숫자,diecisiete,17,( ),diecisiete,Diecisiete,하
300,숫자,dieciocho,18,( ),dieciocho,Dieciocho,하
301,숫자,diecisueve,19,( ),diecisueve,Diecisueve,하
302,숫자,veinte,20,( ),veinte,Veinte,하
303,숫자,veintiuno,21,( ),veintiuno,Veintiuno,하
304,숫자,veintidós,22,( ),veintidós,Veintidós,중 
305,숫자,veintitrés,23,( ),veintitrés,Veintitrés,중
306,숫자,veinticuatro,24,( ),veinticuatro,Veinticuatro,하
307,숫자,veinticinco,25,( ),veinticinco,Veinticinco,하
308,숫자,veintiséis,26,( ),veintiséis,Veintiséis,중
309,숫자,veintisiete,27,( ),veintisiete,Veintisiete,하
310,숫자,veintiocho,28,( ),veintiocho,Veintiocho,하
311,숫자,veintinueve,29,( ),veintinueve,Veintinueve,하
312,숫자,treinta,30,( ),treinta,Treinta,하
313,숫자,treinta y uno,31,( ),treinta y uno,Treinta y uno,하
314,숫자,treinta y dos,32,( ),treinta y dos,Treinta y dos,하
315,숫자,treinta y tres,33,( ),treinta y tres,Treinta y tres,하
316,숫자,treinta y cuatro,34,( ),treinta y cuatro,Treinta y cuatro,하
317,숫자,treinta y cinco,35,( ),treinta y cinco,Treinta y cinco,하
318,숫자,treinta y seis,36,( ),treinta y seis,Treinta y seis,하
319,숫자,treinta y siete,37,( ),treinta y siete,Treinta y siete,하
320,숫자,treinta y ocho,38,( ),treinta y ocho,Treinta y ocho,하
321,숫자,treinta y nueve,39,( ),treinta y nueve,Treinta y nueve,하
322,숫자,cuarenta,40,( ),cuarenta,Cuarenta,하
323,숫자,cuarenta y uno,41,( ),cuarenta y uno,Cuarenta y uno,하
324,숫자,cuarenta y dos,42,( ),cuarenta y dos,Cuarenta y dos,하
325,숫자,cuarenta y tres,43,( ),cuarenta y tres,Cuarenta y tres,하
326,숫자,cuarenta y cuatro,44,( ),cuarenta y cuatro,Cuarenta y cuatro,하
327,숫자,cuarenta y cinco,45,( ),cuarenta y cinco,Cuarenta y cinco,하
328,숫자,cuarenta y seis,46,( ),cuarenta y seis,Cuarenta y seis,하
329,숫자,cuarenta y siete,47,( ),cuarenta y siete,Cuarenta y siete,하
330,숫자,cuarenta y ocho,48,( ),cuarenta y ocho,Cuarenta y ocho,하
331,숫자,cuarenta y nueve,49,( ),cuarenta y nueve,Cuarenta y nueve,하
332,숫자,cincuenta,50,( ),cincuenta,Cincuenta,하
333,숫자,cincuenta y uno,51,( ),cincuenta y uno,Cincuenta y uno,하
334,숫자,cincuenta y dos,52,( ),cincuenta y dos,Cincuenta y dos,하
335,숫자,cincuenta y tres,53,( ),cincuenta y tres,Cincuenta y tres,하
336,숫자,cincuenta y cuatro,54,( ),cincuenta y cuatro,Cincuenta y cuatro,하
337,숫자,cincuenta y cinco,55,( ),cincuenta y cinco,Cincuenta y cinco,하
338,숫자,cincuenta y seis,56,( ),cincuenta y seis,Cincuenta y seis,하
339,숫자,cincuenta y siete,57,( ),cincuenta y siete,Cincuenta y siete,하
340,숫자,cincuenta y ocho,58,( ),cincuenta y ocho,Cincuenta y ocho,하
341,숫자,cincuenta y nueve,59,( ),cincuenta y nueve,Cincuenta y nueve,하
342,숫자,sesenta,60,( ),sesenta,Sesenta,하
343,숫자,sesenta y uno,61,( ),sesenta y uno,Sesenta y uno,하
344,숫자,sesenta y dos,62,( ),sesenta y dos,Sesenta y dos,하
345,숫자,sesenta y tres,63,( ),sesenta y tres,Sesenta y tres,하
346,숫자,sesenta y cuatro,64,( ),sesenta y cuatro,Sesenta y cuatro,하
347,숫자,sesenta y cinco,65,( ),sesenta y cinco,Sesenta y cinco,하
348,숫자,sesenta y seis,66,( ),sesenta y seis,Sesenta y seis,하
349,숫자,sesenta y siete,67,( ),sesenta y siete,Sesenta y siete,하
350,숫자,sesenta y ocho,68,( ),sesenta y ocho,Sesenta y ocho,하
351,숫자,sesenta y nueve,69,( ),sesenta y nueve,Sesenta y nueve,하
352,숫자,setenta,70,( ),setenta,Setenta,하
353,숫자,setenta y uno,73,( ),setenta y uno,Setenta y uno,하
354,숫자,setenta y dos,72,( ),setenta y dos,Setenta y dos,하
355,숫자,setenta y tres,73,( ),setenta y tres,Setenta y tres,하
356,숫자,setenta y cuatro,74,( ),setenta y cuatro,Setenta y cuatro,하
357,숫자,setenta y cinco,75,( ),setenta y cinco,Setenta y cinco,하
358,숫자,setenta y seis,76,( ),setenta y seis,Setenta y seis,하
359,숫자,setenta y siete,77,( ),setenta y siete,Setenta y siete,하
360,숫자,setenta y ocho,78,( ),setenta y ocho,Setenta y ocho,하
361,숫자,setenta y nueve,79,( ),setenta y nueve,Setenta y nueve,하
362,숫자,ochenta,80,( ),ochenta,Ochenta,하
363,숫자,ochenta y uno,81,( ),ochenta y uno,Ochenta y uno,하
364,숫자,ochenta y dos,82,( ),ochenta y dos,Ochenta y dos,하
365,숫자,ochenta y tres,83,( ),ochenta y tres,Ochenta y tres,하
366,숫자,ochenta y cuatro,84,( ),ochenta y cuatro,Ochenta y cuatro,하
367,숫자,ochenta y cinco,85,( ),ochenta y cinco,Ochenta y cinco,하
368,숫자,ochenta y seis,86,( ),ochenta y seis,Ochenta y seis,하
369,숫자,ochenta y siete,87,( ),ochenta y siete,Ochenta y siete,하
370,숫자,ochenta y ocho,88,( ),ochenta y ocho,Ochenta y ocho,하
371,숫자,ochenta y nueve,89,( ),ochenta y nueve,Ochenta y nueve,하
372,숫자,noventa,90,( ),noventa,Noventa,하
373,숫자,noventa y uno,91,( ),noventa y uno,Noventa y uno,하
374,숫자,noventa y dos,92,( ),noventa y dos,Noventa y dos,하
375,숫자,noventa y tres,93,( ),noventa y tres,Noventa y tres,하
376,숫자,noventa y cuatro,94,( ),noventa y cuatro,Noventa y cuatro,하
377,숫자,noventa y cinco,95,( ),noventa y cinco,Noventa y cinco,하
378,숫자,noventa y seis,96,( ),noventa y seis,Noventa y seis,하
379,숫자,noventa y siete,97,( ),noventa y siete,Noventa y siete,하
380,숫자,noventa y ocho,98,( ),noventa y ocho,Noventa y ocho,하
381,숫자,noventa y nueve,99,( ),noventa y nueve,Noventa y nueve,하
382,숫자,cien,100,( ),cien,Cien,하
